,Time,Receiving team,Score,Guest team,Week,Date
0,15:59,Olympique Club de Safi,1 : 1,Olympique Club De Khouribga,Week # 1,Saturday 14 September 2019
1,18:00,Moghreb Tetouan,2 : 0,FAR Rabat,Week # 1,Saturday 14 September 2019
2,20:00,Fath Union Sport de Rabat,1 : 0,Ittihad Tanger,Week # 1,Saturday 14 September 2019
3,17:03,Youssoufia Berrechid,1 : 2,Renaissance Zemamra,Week # 1,Sunday 15 September 2019
4,20:02,Rapide Oued Zem,0 : 0,Mouloudia Oujda,Week # 1,Sunday 15 September 2019
5,16:01,Mouloudia Oujda,2 : 1,Fath Union Sport de Rabat,Week # 2,Saturday 21 September 2019
6,16:02,Raja de Beni Mellal,0 : 2,Moghreb Tetouan,Week # 2,Sunday 22 September 2019
7,18:01,Olympique Club De Khouribga,0 : 0,Hassania Union Sport Agadir,Week # 2,Sunday 22 September 2019
8,20:01,Ittihad Tanger,0 : 0,Difaa Hassani El Jadidi,Week # 2,Sunday 22 September 2019
9,18:04,Difaa Hassani El Jadidi,0 : 0,Mouloudia Oujda,Week # 3,Friday 27 September 2019
10,16:00,Rapide Oued Zem,0 : 1,Olympique Club De Khouribga,Week # 3,Sunday 29 September 2019
11,17:59,Moghreb Tetouan,1 : 0,Renaissance Zemamra,Week # 3,Sunday 29 September 2019
12,19:58,Fath Union Sport de Rabat,1 : 1,Renaissance de Berkane,Week # 3,Wednesday 2 October 2019
13,15:03,FAR Rabat,0 : 0,Olympique Club de Safi,Week # 2,Sunday 6 October 2019
14,17:01,Hassania Union Sport Agadir,0 : 1,Renaissance de Berkane,Week # 1,Sunday 6 October 2019
15,19:00,Difaa Hassani El Jadidi,0 : 1,Wydad Athletic Club,Week # 1,Sunday 6 October 2019
16,15:05,FAR Rabat,2 : 0,Rapide Oued Zem,Week # 4,Sunday 20 October 2019
17,17:04,Renaissance Zemamra,1 : 1,Olympique Club de Safi,Week # 4,Sunday 20 October 2019
18,19:00,Olympique Club De Khouribga,1 : 1,Fath Union Sport de Rabat,Week # 4,Sunday 20 October 2019
19,17:01,Mouloudia Oujda,1 : 1,Wydad Athletic Club,Week # 4,Wednesday 23 October 2019
20,17:03,Raja Club Athletic,2 : 0,Raja de Beni Mellal,Week # 1,Thursday 24 October 2019
21,16:02,Fath Union Sport de Rabat,2 : 4,FAR Rabat,Week # 5,Saturday 26 October 2019
22,15:02,Olympique Club de Safi,0 : 0,Raja Club Athletic,Week # 5,Sunday 27 October 2019
23,15:01,Rapide Oued Zem,3 : 1,Raja de Beni Mellal,Week # 5,Sunday 27 October 2019
24,17:01,Wydad Athletic Club,3 : 1,Youssoufia Berrechid,Week # 2,Sunday 27 October 2019
25,19:04,Ittihad Tanger,0 : 0,Mouloudia Oujda,Week # 5,Sunday 27 October 2019
26,18:59,Difaa Hassani El Jadidi,1 : 0,Olympique Club De Khouribga,Week # 5,Monday 28 October 2019
27,16:59,Youssoufia Berrechid,1 : 1,Moghreb Tetouan,Week # 5,Wednesday 30 October 2019
28,18:03,Renaissance Zemamra,2 : 0,Rapide Oued Zem,Week # 6,Friday 1 November 2019
29,15:01,Raja de Beni Mellal,2 : 2,Fath Union Sport de Rabat,Week # 6,Saturday 2 November 2019
30,15:04,FAR Rabat,1 : 3,Difaa Hassani El Jadidi,Week # 6,Sunday 3 November 2019
31,19:02,Mouloudia Oujda,3 : 1,Youssoufia Berrechid,Week # 6,Monday 4 November 2019
32,15:03,Renaissance Zemamra,1 : 2,Raja Club Athletic,Week # 2,Tuesday 5 November 2019
33,15:01,Hassania Union Sport Agadir,2 : 1,FAR Rabat,Week # 3,Wednesday 6 November 2019
34,15:05,Moghreb Tetouan,1 : 1,Olympique Club de Safi,Week # 6,Wednesday 6 November 2019
35,19:01,Wydad Athletic Club,4 : 0,Ittihad Tanger,Week # 3,Wednesday 6 November 2019
36,19:03,Renaissance de Berkane,2 : 1,Rapide Oued Zem,Week # 2,Wednesday 6 November 2019
37,15:59,Youssoufia Berrechid,3 : 2,Raja Club Athletic,Week # 3,Saturday 9 November 2019
38,15:00,Olympique Club de Safi,1 : 0,Raja de Beni Mellal,Week # 3,Sunday 10 November 2019
39,17:01,Wydad Athletic Club,0 : 1,Renaissance de Berkane,Week # 5,Sunday 10 November 2019
40,18:58,Difaa Hassani El Jadidi,1 : 0,Raja de Beni Mellal,Week # 7,Friday 22 November 2019
41,16:01,Ittihad Tanger,2 : 0,Youssoufia Berrechid,Week # 4,Saturday 23 November 2019
42,18:00,Mouloudia Oujda,0 : 1,Renaissance de Berkane,Week # 7,Sunday 24 November 2019
43,19:03,Fath Union Sport de Rabat,1 : 1,Renaissance Zemamra,Week # 7,Sunday 24 November 2019
44,15:02,Hassania Union Sport Agadir,1 : 1,Moghreb Tetouan,Week # 7,Tuesday 26 November 2019
45,17:00,Olympique Club De Khouribga,1 : 4,Mouloudia Oujda,Week # 8,Friday 29 November 2019
46,19:02,FAR Rabat,4 : 1,Ittihad Tanger,Week # 8,Friday 29 November 2019
47,15:01,Renaissance Zemamra,1 : 2,Difaa Hassani El Jadidi,Week # 8,Sunday 1 December 2019
48,15:00,Youssoufia Berrechid,1 : 0,Olympique Club de Safi,Week # 7,Monday 2 December 2019
49,19:03,Moghreb Tetouan,1 : 0,Rapide Oued Zem,Week # 8,Monday 2 December 2019
50,19:02,Ittihad Tanger,1 : 1,Olympique Club De Khouribga,Week # 7,Wednesday 4 December 2019
51,15:01,Fath Union Sport de Rabat,1 : 0,Moghreb Tetouan,Week # 9,Saturday 7 December 2019
52,17:02,Rapide Oued Zem,3 : 1,Olympique Club de Safi,Week # 9,Saturday 7 December 2019
53,17:03,Mouloudia Oujda,0 : 2,FAR Rabat,Week # 9,Sunday 8 December 2019
54,19:02,Ittihad Tanger,1 : 0,Raja de Beni Mellal,Week # 9,Sunday 8 December 2019
55,17:00,Olympique Club De Khouribga,0 : 4,Wydad Athletic Club,Week # 6,Wednesday 11 December 2019
56,19:04,Raja Club Athletic,1 : 0,Moghreb Tetouan,Week # 4,Wednesday 11 December 2019
57,17:00,Raja de Beni Mellal,1 : 3,Hassania Union Sport Agadir,Week # 4,Friday 13 December 2019
58,18:01,Renaissance de Berkane,1 : 1,Difaa Hassani El Jadidi,Week # 4,Saturday 14 December 2019
59,15:00,Rapide Oued Zem,0 : 0,Raja Club Athletic,Week # 7,Sunday 15 December 2019
60,17:02,Wydad Athletic Club,1 : 0,FAR Rabat,Week # 7,Sunday 15 December 2019
61,17:00,Renaissance de Berkane,2 : 0,Ittihad Tanger,Week # 6,Tuesday 17 December 2019
62,15:06,Raja de Beni Mellal,1 : 2,Wydad Athletic Club,Week # 8,Wednesday 18 December 2019
63,17:06,Raja Club Athletic,2 : 1,Hassania Union Sport Agadir,Week # 6,Wednesday 18 December 2019
64,14:59,Olympique Club De Khouribga,4 : 1,Youssoufia Berrechid,Week # 10,Saturday 21 December 2019
65,15:02,Moghreb Tetouan,2 : 1,Difaa Hassani El Jadidi,Week # 10,Saturday 21 December 2019
66,17:05,FAR Rabat,0 : 1,Renaissance de Berkane,Week # 10,Saturday 21 December 2019
67,19:02,Olympique Club de Safi,0 : 0,Fath Union Sport de Rabat,Week # 10,Saturday 21 December 2019
68,15:05,Raja Club Athletic,1 : 0,Wydad Athletic Club,Week # 10,Sunday 22 December 2019
69,17:03,Renaissance Zemamra,1 : 0,Ittihad Tanger,Week # 10,Sunday 22 December 2019
70,19:02,Hassania Union Sport Agadir,0 : 1,Rapide Oued Zem,Week # 10,Sunday 22 December 2019
71,15:01,Raja de Beni Mellal,1 : 2,Mouloudia Oujda,Week # 10,Monday 23 December 2019
72,14:01,Hassania Union Sport Agadir,1 : 1,Renaissance Zemamra,Week # 5,Wednesday 25 December 2019
73,19:02,Renaissance de Berkane,1 : 1,Youssoufia Berrechid,Week # 8,Wednesday 25 December 2019
74,15:01,Difaa Hassani El Jadidi,1 : 1,Olympique Club de Safi,Week # 11,Saturday 28 December 2019
75,15:02,Olympique Club De Khouribga,0 : 1,FAR Rabat,Week # 11,Sunday 29 December 2019
76,17:01,Youssoufia Berrechid,0 : 4,Rapide Oued Zem,Week # 11,Sunday 29 December 2019
77,17:00,Raja Club Athletic,0 : 2,Fath Union Sport de Rabat,Week # 8,Monday 30 December 2019
78,19:02,Mouloudia Oujda,2 : 1,Renaissance Zemamra,Week # 11,Monday 30 December 2019
79,19:00,Wydad Athletic Club,2 : 1,Moghreb Tetouan,Week # 11,Thursday 2 January 2020
80,18:59,Olympique Club de Safi,2 : 0,Hassania Union Sport Agadir,Week # 8,Thursday 2 January 2020
81,18:58,Renaissance de Berkane,3 : 1,Olympique Club De Khouribga,Week # 9,Thursday 2 January 2020
82,17:03,Wydad Athletic Club,1 : 1,Renaissance Zemamra,Week # 9,Sunday 5 January 2020
83,19:01,Youssoufia Berrechid,3 : 1,Hassania Union Sport Agadir,Week # 9,Sunday 5 January 2020
84,19:04,Renaissance de Berkane,1 : 0,Raja de Beni Mellal,Week # 11,Monday 6 January 2020
85,19:01,Fath Union Sport de Rabat,1 : 0,Hassania Union Sport Agadir,Week # 11,Wednesday 8 January 2020
86,15:04,Moghreb Tetouan,0 : 0,Ittihad Tanger,Week # 12,Saturday 11 January 2020
87,17:04,Raja de Beni Mellal,0 : 0,Olympique Club De Khouribga,Week # 12,Saturday 11 January 2020
88,14:58,Rapide Oued Zem,0 : 0,Fath Union Sport de Rabat,Week # 12,Sunday 12 January 2020
89,17:03,FAR Rabat,0 : 1,Youssoufia Berrechid,Week # 12,Sunday 12 January 2020
90,15:15,Renaissance Zemamra,5 : 0,Renaissance de Berkane,Week # 12,Wednesday 15 January 2020
91,19:05,Ittihad Tanger,1 : 4,Raja Club Athletic,Week # 11,Wednesday 15 January 2020
92,18:59,Wydad Athletic Club,3 : 2,Hassania Union Sport Agadir,Week # 13,Thursday 16 January 2020
93,19:00,Difaa Hassani El Jadidi,1 : 1,Rapide Oued Zem,Week # 13,Friday 17 January 2020
94,15:01,Youssoufia Berrechid,1 : 1,Fath Union Sport de Rabat,Week # 13,Saturday 18 January 2020
95,17:00,FAR Rabat,1 : 0,Raja de Beni Mellal,Week # 13,Saturday 18 January 2020
96,19:01,Mouloudia Oujda,1 : 0,Moghreb Tetouan,Week # 13,Saturday 18 January 2020
97,17:02,Olympique Club De Khouribga,1 : 0,Renaissance Zemamra,Week # 13,Sunday 19 January 2020
98,19:02,Renaissance de Berkane,2 : 2,Raja Club Athletic,Week # 13,Sunday 19 January 2020
99,19:00,Olympique Club de Safi,1 : 2,Wydad Athletic Club,Week # 12,Monday 20 January 2020
100,18:59,Hassania Union Sport Agadir,2 : 1,Difaa Hassani El Jadidi,Week # 12,Tuesday 21 January 2020
101,19:03,Raja Club Athletic,1 : 1,Mouloudia Oujda,Week # 12,Wednesday 22 January 2020
102,19:05,Ittihad Tanger,1 : 2,Olympique Club de Safi,Week # 13,Thursday 23 January 2020
103,19:00,Youssoufia Berrechid,2 : 0,Raja de Beni Mellal,Week # 14,Saturday 25 January 2020
104,15:02,Renaissance Zemamra,1 : 2,FAR Rabat,Week # 14,Sunday 26 January 2020
105,19:01,Fath Union Sport de Rabat,2 : 1,Difaa Hassani El Jadidi,Week # 14,Sunday 26 January 2020
106,17:01,Olympique Club de Safi,2 : 2,Mouloudia Oujda,Week # 14,Monday 27 January 2020
107,19:00,Ittihad Tanger,0 : 0,Rapide Oued Zem,Week # 15,Friday 31 January 2020
108,15:02,Olympique Club De Khouribga,2 : 2,Moghreb Tetouan,Week # 15,Saturday 1 February 2020
109,18:59,Difaa Hassani El Jadidi,2 : 1,Youssoufia Berrechid,Week # 15,Saturday 1 February 2020
110,15:01,Raja de Beni Mellal,2 : 2,Renaissance Zemamra,Week # 15,Sunday 2 February 2020
111,16:59,Raja Club Athletic,2 : 1,Olympique Club De Khouribga,Week # 14,Wednesday 5 February 2020
112,19:02,Hassania Union Sport Agadir,2 : 1,Ittihad Tanger,Week # 14,Wednesday 5 February 2020
113,15:03,Rapide Oued Zem,1 : 2,Wydad Athletic Club,Week # 14,Thursday 6 February 2020
114,19:01,Moghreb Tetouan,0 : 0,Renaissance de Berkane,Week # 14,Thursday 6 February 2020
115,18:00,Mouloudia Oujda,2 : 1,Hassania Union Sport Agadir,Week # 15,Sunday 9 February 2020
116,17:03,Wydad Athletic Club,1 : 1,Fath Union Sport de Rabat,Week # 15,Monday 10 February 2020
117,19:02,Renaissance de Berkane,1 : 1,Olympique Club de Safi,Week # 15,Monday 10 February 2020
118,17:01,FAR Rabat,1 : 0,Raja Club Athletic,Week # 15,Wednesday 12 February 2020
119,17:02,Ittihad Tanger,2 : 1,Fath Union Sport de Rabat,Week # 16,Friday 14 February 2020
120,19:03,Mouloudia Oujda,1 : 0,Rapide Oued Zem,Week # 16,Friday 14 February 2020
121,19:01,Wydad Athletic Club,0 : 1,Difaa Hassani El Jadidi,Week # 16,Saturday 15 February 2020
122,18:59,Renaissance de Berkane,1 : 1,Hassania Union Sport Agadir,Week # 16,Saturday 15 February 2020
123,16:02,Renaissance Zemamra,3 : 2,Youssoufia Berrechid,Week # 16,Sunday 16 February 2020
124,19:05,FAR Rabat,2 : 1,Moghreb Tetouan,Week # 16,Sunday 16 February 2020
125,16:59,Olympique Club De Khouribga,1 : 1,Olympique Club de Safi,Week # 16,Tuesday 18 February 2020
126,17:02,Raja de Beni Mellal,1 : 2,Raja Club Athletic,Week # 16,Friday 21 February 2020
127,16:01,Difaa Hassani El Jadidi,1 : 1,Ittihad Tanger,Week # 17,Saturday 22 February 2020
128,16:59,Youssoufia Berrechid,3 : 2,Wydad Athletic Club,Week # 17,Saturday 22 February 2020
129,19:01,Fath Union Sport de Rabat,2 : 1,Mouloudia Oujda,Week # 17,Saturday 22 February 2020
130,16:59,Rapide Oued Zem,0 : 0,Renaissance de Berkane,Week # 17,Sunday 23 February 2020
131,19:01,Hassania Union Sport Agadir,1 : 2,Olympique Club De Khouribga,Week # 17,Sunday 23 February 2020
132,16:59,Olympique Club de Safi,1 : 1,FAR Rabat,Week # 17,Tuesday 25 February 2020
133,19:01,Moghreb Tetouan,0 : 0,Raja de Beni Mellal,Week # 17,Tuesday 25 February 2020
134,17:00,Olympique Club De Khouribga,0 : 0,Rapide Oued Zem,Week # 18,Friday 28 February 2020
135,18:03,Mouloudia Oujda,1 : 1,Difaa Hassani El Jadidi,Week # 18,Saturday 29 February 2020
136,16:00,Renaissance Zemamra,1 : 2,Moghreb Tetouan,Week # 18,Sunday 1 March 2020
137,17:59,Raja de Beni Mellal,0 : 0,Olympique Club de Safi,Week # 18,Sunday 1 March 2020
138,19:00,Youssoufia Berrechid,3 : 0,Ittihad Tanger,Week # 19,Monday 2 March 2020
139,17:01,Rapide Oued Zem,2 : 2,FAR Rabat,Week # 19,Tuesday 3 March 2020
140,19:00,Fath Union Sport de Rabat,1 : 0,Olympique Club De Khouribga,Week # 19,Tuesday 3 March 2020
141,19:01,Olympique Club de Safi,1 : 3,Renaissance Zemamra,Week # 19,Thursday 5 March 2020
142,19:01,Moghreb Tetouan,2 : 0,Youssoufia Berrechid,Week # 20,Friday 6 March 2020
143,16:02,FAR Rabat,1 : 2,Fath Union Sport de Rabat,Week # 20,Saturday 7 March 2020
144,18:01,Mouloudia Oujda,1 : 0,Ittihad Tanger,Week # 20,Saturday 7 March 2020
145,15:03,Olympique Club De Khouribga,1 : 0,Difaa Hassani El Jadidi,Week # 20,Sunday 8 March 2020
146,17:01,Raja de Beni Mellal,1 : 0,Rapide Oued Zem,Week # 20,Monday 9 March 2020
147,16:00,Ittihad Tanger,0 : 2,Wydad Athletic Club,Week # 18,Thursday 12 March 2020
148,18:01,Renaissance de Berkane,0 : 1,Fath Union Sport de Rabat,Week # 18,Thursday 12 March 2020
149,20:02,FAR Rabat,1 : 1,Hassania Union Sport Agadir,Week # 18,Thursday 12 March 2020
150,19:01,Rapide Oued Zem,2 : 1,Renaissance Zemamra,Week # 21,Friday 13 March 2020
151,20:00,Difaa Hassani El Jadidi,0 : 0,Raja Club Athletic,Week # 9,Monday 27 July 2020
152,22:00,Hassania Union Sport Agadir,1 : 0,Raja de Beni Mellal,Week # 19,Monday 27 July 2020
153,22:00,Wydad Athletic Club,1 : 1,Mouloudia Oujda,Week # 19,Tuesday 28 July 2020
154,20:00,Difaa Hassani El Jadidi,0 : 0,Renaissance de Berkane,Week # 19,Thursday 30 July 2020
155,22:00,Raja Club Athletic,3 : 1,Renaissance Zemamra,Week # 17,Thursday 30 July 2020
156,20:00,Raja Club Athletic,2 : 0,Youssoufia Berrechid,Week # 18,Sunday 2 August 2020
157,20:00,Moghreb Tetouan,0 : 0,Raja Club Athletic,Week # 19,Wednesday 5 August 2020
158,22:00,Renaissance de Berkane,2 : 1,Wydad Athletic Club,Week # 20,Thursday 6 August 2020
159,18:00,Renaissance Zemamra,2 : 2,Hassania Union Sport Agadir,Week # 20,Friday 7 August 2020
160,18:00,Raja Club Athletic,2 : 0,Olympique Club de Safi,Week # 20,Saturday 8 August 2020
161,20:00,Wydad Athletic Club,3 : 2,Olympique Club De Khouribga,Week # 21,Monday 10 August 2020
162,22:00,Difaa Hassani El Jadidi,1 : 1,FAR Rabat,Week # 21,Monday 10 August 2020
163,20:00,Hassania Union Sport Agadir,0 : 2,Raja Club Athletic,Week # 21,Tuesday 11 August 2020
164,20:00,Youssoufia Berrechid,1 : 1,Mouloudia Oujda,Week # 21,Tuesday 11 August 2020
