,Time,Receiving team,Score,Guest team,Week,Date
70,19:30,Rapide Oued Zem,0 : 0,Maghreb de Fes,Week # 9,Sunday 14 March 2021
71,15:02,Olympique Club de Safi,0 : 0,Renaissance de Berkane,Week # 10,Sunday 21 March 2021
72,17:03,Wydad Athletic Club,2 : 0,Raja Club Athletic,Week # 10,Sunday 21 March 2021
73,17:17,Ittihad Tanger,1 : 2,FAR Rabat,Week # 10,Friday 2 April 2021
74,19:30,Hassania Union Sport Agadir,3 : 1,Rapide Oued Zem,Week # 10,Friday 2 April 2021
75,15:04,Moghreb Tetouan,3 : 0,Renaissance Zemamra,Week # 10,Saturday 3 April 2021
76,17:17,Difaa Hassani El Jadidi,0 : 0,Chabab Mohammedia,Week # 10,Saturday 3 April 2021
77,19:33,Youssoufia Berrechid,0 : 1,Mouloudia Oujda,Week # 10,Saturday 3 April 2021
78,15:05,Maghreb de Fes,1 : 1,Fath Union Sport de Rabat,Week # 10,Sunday 4 April 2021
79,15:02,Renaissance de Berkane,1 : 2,Ittihad Tanger,Week # 11,Wednesday 7 April 2021
80,17:20,Raja Club Athletic,0 : 1,Hassania Union Sport Agadir,Week # 11,Wednesday 7 April 2021
81,19:30,Rapide Oued Zem,0 : 1,Wydad Athletic Club,Week # 11,Wednesday 7 April 2021
82,19:32,FAR Rabat,1 : 0,Difaa Hassani El Jadidi,Week # 11,Friday 9 April 2021
83,15:01,Mouloudia Oujda,3 : 0,Maghreb de Fes,Week # 11,Saturday 10 April 2021
84,15:00,Renaissance Zemamra,0 : 0,Youssoufia Berrechid,Week # 11,Sunday 11 April 2021
85,17:15,Chabab Mohammedia,3 : 0,Olympique Club de Safi,Week # 11,Sunday 11 April 2021
86,19:30,Fath Union Sport de Rabat,2 : 1,Moghreb Tetouan,Week # 11,Sunday 11 April 2021
87,22:03,Wydad Athletic Club,1 : 1,Mouloudia Oujda,Week # 12,Thursday 15 April 2021
88,22:01,Hassania Union Sport Agadir,1 : 2,Renaissance de Berkane,Week # 12,Friday 16 April 2021
89,22:03,Moghreb Tetouan,2 : 3,Raja Club Athletic,Week # 12,Friday 16 April 2021
90,21:59,Olympique Club de Safi,2 : 1,Rapide Oued Zem,Week # 12,Saturday 17 April 2021
91,21:58,Fath Union Sport de Rabat,1 : 2,Renaissance Zemamra,Week # 12,Saturday 17 April 2021
92,22:02,Maghreb de Fes,1 : 1,Chabab Mohammedia,Week # 12,Sunday 18 April 2021
93,22:01,Difaa Hassani El Jadidi,0 : 0,Ittihad Tanger,Week # 12,Sunday 18 April 2021
94,22:03,Youssoufia Berrechid,1 : 1,FAR Rabat,Week # 12,Sunday 18 April 2021
95,22:05,FAR Rabat,0 : 2,Hassania Union Sport Agadir,Week # 13,Friday 23 April 2021
96,22:02,Renaissance Zemamra,1 : 1,Maghreb de Fes,Week # 13,Friday 23 April 2021
97,22:01,Chabab Mohammedia,0 : 1,Youssoufia Berrechid,Week # 13,Saturday 24 April 2021
98,22:01,Mouloudia Oujda,1 : 2,Moghreb Tetouan,Week # 13,Saturday 24 April 2021
99,22:00,Rapide Oued Zem,2 : 1,Fath Union Sport de Rabat,Week # 13,Saturday 24 April 2021
100,22:01,Raja Club Athletic,2 : 0,Olympique Club de Safi,Week # 13,Sunday 25 April 2021
101,22:04,Ittihad Tanger,3 : 2,Wydad Athletic Club,Week # 13,Sunday 25 April 2021
102,22:02,Renaissance de Berkane,2 : 0,Difaa Hassani El Jadidi,Week # 13,Sunday 25 April 2021
103,22:00,Wydad Athletic Club,1 : 1,Chabab Mohammedia,Week # 14,Thursday 29 April 2021
104,22:00,Hassania Union Sport Agadir,1 : 0,Mouloudia Oujda,Week # 14,Friday 30 April 2021
105,22:02,Maghreb de Fes,2 : 1,Ittihad Tanger,Week # 14,Saturday 1 May 2021
106,22:01,Olympique Club de Safi,0 : 3,FAR Rabat,Week # 14,Saturday 1 May 2021
107,22:00,Youssoufia Berrechid,0 : 1,Difaa Hassani El Jadidi,Week # 14,Saturday 1 May 2021
108,22:00,Wydad Athletic Club,4 : 0,Renaissance de Berkane,Week # 8,Sunday 2 May 2021
109,22:02,Moghreb Tetouan,1 : 1,Rapide Oued Zem,Week # 14,Sunday 2 May 2021
110,22:01,Renaissance Zemamra,1 : 1,Raja Club Athletic,Week # 14,Sunday 2 May 2021
111,22:02,Fath Union Sport de Rabat,3 : 1,Renaissance de Berkane,Week # 14,Wednesday 5 May 2021
112,22:07,Ittihad Tanger,2 : 0,Youssoufia Berrechid,Week # 15,Friday 7 May 2021
113,22:00,Chabab Mohammedia,0 : 0,Fath Union Sport de Rabat,Week # 15,Saturday 8 May 2021
114,22:01,Mouloudia Oujda,3 : 2,Olympique Club de Safi,Week # 15,Saturday 8 May 2021
