,Time,Receiving team,Score,Guest team,Week,Date
0,17:06,Racing Casablanca,1 : 2,Kawkab Athletic Club Marrakech,Week # 1,Friday 8 September 2017
1,19:02,FAR Rabat,0 : 0,Rapide Oued Zem,Week # 1,Friday 8 September 2017
2,15:59,Renaissance de Berkane,0 : 3,Ittihad Tanger,Week # 1,Saturday 9 September 2017
3,16:01,Chabab Rif Al Hoceima,1 : 1,Hassania Union Sport Agadir,Week # 1,Saturday 9 September 2017
4,19:07,Difaa Hassani El Jadidi,0 : 0,Chabab Atlas Khenifra,Week # 1,Saturday 9 September 2017
5,16:04,Olympique Club De Khouribga,1 : 1,Raja Club Athletic,Week # 1,Sunday 10 September 2017
6,16:00,Moghreb Tetouan,2 : 2,Olympique Club de Safi,Week # 1,Sunday 10 September 2017
7,20:33,Wydad Athletic Club,1 : 3,Fath Union Sport de Rabat,Week # 1,Sunday 10 September 2017
8,16:00,Chabab Atlas Khenifra,2 : 0,Moghreb Tetouan,Week # 2,Saturday 16 September 2017
9,17:09,Raja Club Athletic,2 : 0,FAR Rabat,Week # 2,Saturday 16 September 2017
10,16:04,Hassania Union Sport Agadir,3 : 0,Renaissance de Berkane,Week # 2,Sunday 17 September 2017
11,16:00,Olympique Club de Safi,2 : 1,Chabab Rif Al Hoceima,Week # 2,Sunday 17 September 2017
12,18:00,Ittihad Tanger,1 : 1,Racing Casablanca,Week # 2,Sunday 17 September 2017
13,20:01,Kawkab Athletic Club Marrakech,2 : 1,Olympique Club De Khouribga,Week # 2,Sunday 17 September 2017
14,16:01,Raja Club Athletic,4 : 0,Kawkab Athletic Club Marrakech,Week # 3,Saturday 23 September 2017
15,15:59,Renaissance de Berkane,1 : 0,Olympique Club de Safi,Week # 3,Saturday 23 September 2017
16,16:02,Racing Casablanca,0 : 3,Hassania Union Sport Agadir,Week # 3,Sunday 24 September 2017
17,15:59,Chabab Rif Al Hoceima,2 : 0,Chabab Atlas Khenifra,Week # 3,Sunday 24 September 2017
18,18:01,Olympique Club De Khouribga,1 : 1,Ittihad Tanger,Week # 3,Sunday 24 September 2017
19,20:04,Difaa Hassani El Jadidi,3 : 1,Rapide Oued Zem,Week # 3,Sunday 24 September 2017
20,16:00,Chabab Atlas Khenifra,1 : 1,Renaissance de Berkane,Week # 4,Friday 29 September 2017
21,19:03,Olympique Club de Safi,2 : 2,Racing Casablanca,Week # 4,Friday 29 September 2017
22,16:03,Hassania Union Sport Agadir,3 : 0,Olympique Club De Khouribga,Week # 4,Saturday 30 September 2017
23,18:01,Kawkab Athletic Club Marrakech,0 : 1,FAR Rabat,Week # 4,Saturday 30 September 2017
24,16:03,Ittihad Tanger,1 : 1,Raja Club Athletic,Week # 4,Sunday 1 October 2017
25,16:02,Rapide Oued Zem,2 : 0,Moghreb Tetouan,Week # 4,Sunday 1 October 2017
26,17:03,FAR Rabat,1 : 2,Difaa Hassani El Jadidi,Week # 5,Friday 20 October 2017
27,19:01,Kawkab Athletic Club Marrakech,2 : 2,Ittihad Tanger,Week # 5,Friday 20 October 2017
28,15:00,Chabab Rif Al Hoceima,1 : 2,Rapide Oued Zem,Week # 5,Saturday 21 October 2017
29,15:01,Racing Casablanca,1 : 1,Chabab Atlas Khenifra,Week # 5,Sunday 22 October 2017
30,17:01,Olympique Club De Khouribga,2 : 2,Olympique Club de Safi,Week # 5,Sunday 22 October 2017
31,19:32,Raja Club Athletic,2 : 1,Hassania Union Sport Agadir,Week # 5,Monday 23 October 2017
32,15:08,Fath Union Sport de Rabat,2 : 0,Racing Casablanca,Week # 6,Saturday 28 October 2017
33,15:00,Chabab Atlas Khenifra,0 : 1,Olympique Club De Khouribga,Week # 6,Saturday 28 October 2017
34,18:00,Hassania Union Sport Agadir,1 : 1,Kawkab Athletic Club Marrakech,Week # 6,Saturday 28 October 2017
35,15:00,Olympique Club de Safi,2 : 0,Raja Club Athletic,Week # 6,Sunday 29 October 2017
36,14:59,Rapide Oued Zem,1 : 1,Renaissance de Berkane,Week # 6,Sunday 29 October 2017
37,17:00,Ittihad Tanger,0 : 1,FAR Rabat,Week # 6,Sunday 29 October 2017
38,19:31,Difaa Hassani El Jadidi,3 : 0,Moghreb Tetouan,Week # 6,Sunday 29 October 2017
39,14:59,Moghreb Tetouan,0 : 2,Fath Union Sport de Rabat,Week # 3,Wednesday 1 November 2017
40,15:01,Racing Casablanca,3 : 1,Rapide Oued Zem,Week # 7,Friday 3 November 2017
41,15:02,Kawkab Athletic Club Marrakech,1 : 1,Olympique Club de Safi,Week # 7,Saturday 4 November 2017
42,15:01,Ittihad Tanger,2 : 2,Hassania Union Sport Agadir,Week # 7,Saturday 4 November 2017
43,15:01,FAR Rabat,2 : 0,Moghreb Tetouan,Week # 7,Sunday 5 November 2017
44,15:02,Chabab Rif Al Hoceima,2 : 2,Difaa Hassani El Jadidi,Week # 7,Sunday 5 November 2017
45,17:00,Olympique Club De Khouribga,2 : 1,Fath Union Sport de Rabat,Week # 7,Sunday 5 November 2017
46,19:02,Raja Club Athletic,1 : 2,Chabab Atlas Khenifra,Week # 7,Sunday 5 November 2017
47,15:07,Rapide Oued Zem,1 : 1,Wydad Athletic Club,Week # 2,Friday 10 November 2017
48,17:00,FAR Rabat,0 : 0,Wydad Athletic Club,Week # 3,Wednesday 15 November 2017
49,14:59,Moghreb Tetouan,0 : 2,Chabab Rif Al Hoceima,Week # 8,Friday 17 November 2017
50,16:59,Olympique Club de Safi,1 : 0,Ittihad Tanger,Week # 8,Friday 17 November 2017
51,14:59,Rapide Oued Zem,1 : 0,Olympique Club De Khouribga,Week # 8,Sunday 19 November 2017
52,14:58,Chabab Atlas Khenifra,0 : 0,Kawkab Athletic Club Marrakech,Week # 8,Sunday 19 November 2017
53,17:01,Hassania Union Sport Agadir,2 : 2,FAR Rabat,Week # 8,Sunday 19 November 2017
54,19:01,Wydad Athletic Club,0 : 0,Racing Casablanca,Week # 8,Sunday 19 November 2017
55,17:07,Wydad Athletic Club,2 : 1,Difaa Hassani El Jadidi,Week # 4,Wednesday 22 November 2017
56,17:03,Fath Union Sport de Rabat,0 : 0,Raja Club Athletic,Week # 8,Thursday 23 November 2017
57,18:01,Hassania Union Sport Agadir,1 : 0,Olympique Club de Safi,Week # 9,Friday 24 November 2017
58,15:01,Ittihad Tanger,1 : 0,Chabab Atlas Khenifra,Week # 9,Saturday 25 November 2017
59,15:01,Renaissance de Berkane,1 : 2,Moghreb Tetouan,Week # 9,Saturday 25 November 2017
60,14:59,Olympique Club De Khouribga,0 : 5,Wydad Athletic Club,Week # 9,Sunday 26 November 2017
61,15:00,FAR Rabat,2 : 2,Chabab Rif Al Hoceima,Week # 9,Sunday 26 November 2017
62,15:00,Racing Casablanca,0 : 3,Difaa Hassani El Jadidi,Week # 9,Sunday 26 November 2017
63,16:58,Kawkab Athletic Club Marrakech,2 : 1,Fath Union Sport de Rabat,Week # 9,Sunday 26 November 2017
64,17:03,Raja Club Athletic,3 : 1,Rapide Oued Zem,Week # 9,Monday 27 November 2017
65,15:02,Moghreb Tetouan,1 : 2,Wydad Athletic Club,Week # 5,Wednesday 29 November 2017
66,14:59,Fath Union Sport de Rabat,1 : 0,Difaa Hassani El Jadidi,Week # 2,Wednesday 29 November 2017
