,Time,Receiving team,Score,Guest team,Week,Date
0,19:01,Hassania Union Sport Agadir,1 : 1,FAR Rabat,Week # 1,Friday 26 August 2016
1,17:01,Olympique Club de Safi,2 : 1,Chabab Rif Al Hoceima,Week # 1,Saturday 27 August 2016
2,19:01,Chabab Atlas Khenifra,0 : 0,Chabab Kasba Tadla,Week # 1,Saturday 27 August 2016
3,21:19,Ittihad Tanger,4 : 1,Difaa Hassani El Jadidi,Week # 1,Saturday 27 August 2016
4,17:07,Raja Club Athletic,4 : 0,Kenitra AC,Week # 1,Sunday 28 August 2016
5,20:15,Kawkab Athletic Club Marrakech,2 : 2,Moghreb Tetouan,Week # 1,Sunday 28 August 2016
6,17:02,Kenitra AC,0 : 2,Ittihad Tanger,Week # 2,Saturday 17 September 2016
7,17:02,Difaa Hassani El Jadidi,3 : 0,Hassania Union Sport Agadir,Week # 2,Saturday 17 September 2016
8,19:30,Moghreb Tetouan,1 : 0,Olympique Club De Khouribga,Week # 2,Saturday 17 September 2016
9,17:04,FAR Rabat,2 : 0,Olympique Club de Safi,Week # 2,Sunday 18 September 2016
10,17:01,Chabab Kasba Tadla,0 : 2,Raja Club Athletic,Week # 2,Sunday 18 September 2016
11,19:13,Renaissance de Berkane,3 : 0,Kawkab Athletic Club Marrakech,Week # 2,Sunday 18 September 2016
12,17:02,Hassania Union Sport Agadir,3 : 2,Kenitra AC,Week # 3,Saturday 24 September 2016
13,17:05,Ittihad Tanger,2 : 1,Chabab Kasba Tadla,Week # 3,Saturday 24 September 2016
14,19:00,Olympique Club De Khouribga,0 : 1,Renaissance de Berkane,Week # 3,Saturday 24 September 2016
15,16:57,Olympique Club de Safi,1 : 2,Difaa Hassani El Jadidi,Week # 3,Sunday 25 September 2016
16,17:00,Chabab Atlas Khenifra,1 : 1,Raja Club Athletic,Week # 3,Sunday 25 September 2016
17,19:14,Kawkab Athletic Club Marrakech,1 : 2,Chabab Rif Al Hoceima,Week # 3,Sunday 25 September 2016
18,16:02,Olympique Club De Khouribga,2 : 3,Wydad Athletic Club,Week # 1,Saturday 1 October 2016
19,19:02,Moghreb Tetouan,0 : 0,Chabab Atlas Khenifra,Week # 4,Saturday 8 October 2016
20,16:00,Kenitra AC,2 : 1,Olympique Club de Safi,Week # 4,Sunday 9 October 2016
21,15:57,FAR Rabat,1 : 2,Kawkab Athletic Club Marrakech,Week # 4,Sunday 9 October 2016
22,16:03,Chabab Rif Al Hoceima,1 : 4,Olympique Club De Khouribga,Week # 4,Sunday 9 October 2016
23,16:03,Olympique Club de Safi,1 : 0,Chabab Kasba Tadla,Week # 5,Friday 14 October 2016
24,19:01,Kawkab Athletic Club Marrakech,0 : 0,Difaa Hassani El Jadidi,Week # 5,Friday 14 October 2016
25,16:01,Wydad Athletic Club,2 : 1,Chabab Rif Al Hoceima,Week # 5,Saturday 15 October 2016
26,16:01,Chabab Atlas Khenifra,0 : 0,Ittihad Tanger,Week # 5,Saturday 15 October 2016
27,16:00,Hassania Union Sport Agadir,2 : 2,Raja Club Athletic,Week # 5,Sunday 16 October 2016
28,19:30,Moghreb Tetouan,1 : 0,Renaissance de Berkane,Week # 5,Sunday 16 October 2016
29,17:02,Olympique Club De Khouribga,1 : 2,FAR Rabat,Week # 5,Monday 17 October 2016
30,16:01,Wydad Athletic Club,3 : 1,Chabab Atlas Khenifra,Week # 2,Thursday 20 October 2016
31,18:00,Chabab Rif Al Hoceima,2 : 1,Moghreb Tetouan,Week # 6,Friday 21 October 2016
32,15:00,Kenitra AC,1 : 1,Kawkab Athletic Club Marrakech,Week # 6,Saturday 22 October 2016
33,15:03,Chabab Kasba Tadla,1 : 0,Fath Union Sport de Rabat,Week # 6,Saturday 22 October 2016
34,17:59,Ittihad Tanger,0 : 0,Hassania Union Sport Agadir,Week # 6,Saturday 22 October 2016
35,15:01,Raja Club Athletic,1 : 0,Olympique Club de Safi,Week # 6,Sunday 23 October 2016
36,15:01,FAR Rabat,0 : 5,Wydad Athletic Club,Week # 6,Sunday 23 October 2016
37,17:03,Renaissance de Berkane,0 : 1,Chabab Atlas Khenifra,Week # 6,Sunday 23 October 2016
38,19:17,Difaa Hassani El Jadidi,3 : 0,Olympique Club De Khouribga,Week # 6,Sunday 23 October 2016
39,18:32,Fath Union Sport de Rabat,1 : 0,Renaissance de Berkane,Week # 1,Wednesday 26 October 2016
40,15:00,Wydad Athletic Club,1 : 1,Difaa Hassani El Jadidi,Week # 7,Friday 28 October 2016
41,17:02,Kawkab Athletic Club Marrakech,1 : 0,Chabab Kasba Tadla,Week # 7,Friday 28 October 2016
42,19:02,Chabab Atlas Khenifra,2 : 1,Hassania Union Sport Agadir,Week # 7,Friday 28 October 2016
43,14:59,Olympique Club de Safi,1 : 2,Ittihad Tanger,Week # 7,Saturday 29 October 2016
44,18:03,Moghreb Tetouan,3 : 1,FAR Rabat,Week # 7,Saturday 29 October 2016
45,15:00,Renaissance de Berkane,3 : 0,Chabab Rif Al Hoceima,Week # 7,Sunday 30 October 2016
46,15:02,Fath Union Sport de Rabat,2 : 2,Raja Club Athletic,Week # 7,Sunday 30 October 2016
47,18:03,Olympique Club De Khouribga,3 : 1,Kenitra AC,Week # 7,Sunday 30 October 2016
48,15:01,Wydad Athletic Club,2 : 1,Moghreb Tetouan,Week # 3,Tuesday 1 November 2016
49,15:01,Chabab Kasba Tadla,2 : 1,Hassania Union Sport Agadir,Week # 4,Tuesday 1 November 2016
50,15:03,Raja Club Athletic,2 : 1,Kawkab Athletic Club Marrakech,Week # 8,Thursday 3 November 2016
51,17:07,Chabab Rif Al Hoceima,1 : 0,Chabab Atlas Khenifra,Week # 8,Thursday 3 November 2016
52,15:00,Chabab Kasba Tadla,1 : 0,Olympique Club De Khouribga,Week # 8,Friday 4 November 2016
53,18:01,FAR Rabat,0 : 1,Renaissance de Berkane,Week # 8,Friday 4 November 2016
54,15:02,Kenitra AC,0 : 1,Wydad Athletic Club,Week # 8,Saturday 5 November 2016
55,19:02,Ittihad Tanger,1 : 1,Fath Union Sport de Rabat,Week # 8,Saturday 5 November 2016
56,15:02,Hassania Union Sport Agadir,3 : 2,Olympique Club de Safi,Week # 8,Sunday 6 November 2016
