,Time,Receiving team,Score,Guest team,Week,Date
57,15:00,Difaa Hassani El Jadidi,1 : 0,Moghreb Tetouan,Week # 8,Sunday 6 November 2016
58,17:03,Chabab Rif Al Hoceima,0 : 0,Fath Union Sport de Rabat,Week # 2,Wednesday 16 November 2016
59,15:00,Wydad Athletic Club,1 : 0,Chabab Kasba Tadla,Week # 9,Saturday 19 November 2016
60,17:42,Renaissance de Berkane,1 : 1,Difaa Hassani El Jadidi,Week # 9,Saturday 19 November 2016
61,19:19,Kawkab Athletic Club Marrakech,2 : 1,Ittihad Tanger,Week # 9,Saturday 19 November 2016
62,15:01,Olympique Club De Khouribga,0 : 0,Raja Club Athletic,Week # 9,Sunday 20 November 2016
63,15:01,Moghreb Tetouan,4 : 1,Kenitra AC,Week # 9,Sunday 20 November 2016
64,17:02,Fath Union Sport de Rabat,1 : 2,Hassania Union Sport Agadir,Week # 9,Sunday 20 November 2016
65,19:16,Chabab Rif Al Hoceima,0 : 0,FAR Rabat,Week # 9,Sunday 20 November 2016
66,16:01,Chabab Atlas Khenifra,1 : 0,Olympique Club de Safi,Week # 9,Wednesday 23 November 2016
67,18:34,Fath Union Sport de Rabat,1 : 1,FAR Rabat,Week # 3,Wednesday 23 November 2016
68,19:07,Hassania Union Sport Agadir,1 : 0,Kawkab Athletic Club Marrakech,Week # 10,Friday 25 November 2016
69,15:01,Kenitra AC,1 : 0,Renaissance de Berkane,Week # 10,Saturday 26 November 2016
70,15:02,Chabab Kasba Tadla,0 : 1,Moghreb Tetouan,Week # 10,Saturday 26 November 2016
71,17:03,Ittihad Tanger,1 : 0,Olympique Club De Khouribga,Week # 10,Saturday 26 November 2016
72,19:16,Difaa Hassani El Jadidi,3 : 1,Chabab Rif Al Hoceima,Week # 10,Saturday 26 November 2016
73,15:02,Raja Club Athletic,0 : 0,Wydad Athletic Club,Week # 10,Sunday 27 November 2016
74,17:28,Olympique Club de Safi,1 : 0,Fath Union Sport de Rabat,Week # 10,Sunday 27 November 2016
75,19:33,FAR Rabat,1 : 0,Chabab Atlas Khenifra,Week # 10,Sunday 27 November 2016
76,16:58,Chabab Atlas Khenifra,1 : 3,Fath Union Sport de Rabat,Week # 11,Friday 2 December 2016
77,19:04,FAR Rabat,2 : 4,Difaa Hassani El Jadidi,Week # 11,Friday 2 December 2016
78,15:03,Wydad Athletic Club,2 : 2,Ittihad Tanger,Week # 11,Saturday 3 December 2016
79,17:02,Renaissance de Berkane,3 : 0,Chabab Kasba Tadla,Week # 11,Saturday 3 December 2016
80,19:21,Moghreb Tetouan,0 : 1,Raja Club Athletic,Week # 11,Saturday 3 December 2016
81,15:00,Olympique Club De Khouribga,1 : 1,Hassania Union Sport Agadir,Week # 11,Sunday 4 December 2016
82,15:05,Chabab Rif Al Hoceima,0 : 0,Kenitra AC,Week # 11,Sunday 4 December 2016
83,18:00,Kawkab Athletic Club Marrakech,0 : 1,Olympique Club de Safi,Week # 11,Sunday 4 December 2016
84,17:03,Difaa Hassani El Jadidi,1 : 0,Fath Union Sport de Rabat,Week # 4,Tuesday 6 December 2016
85,15:05,Raja Club Athletic,0 : 1,Ittihad Tanger,Week # 4,Wednesday 7 December 2016
86,17:02,Renaissance de Berkane,1 : 1,Wydad Athletic Club,Week # 4,Wednesday 7 December 2016
87,18:00,Olympique Club de Safi,1 : 0,Olympique Club De Khouribga,Week # 12,Friday 9 December 2016
88,15:00,Kenitra AC,1 : 2,FAR Rabat,Week # 12,Saturday 10 December 2016
89,15:06,Difaa Hassani El Jadidi,2 : 1,Chabab Atlas Khenifra,Week # 12,Saturday 10 December 2016
90,18:00,Fath Union Sport de Rabat,3 : 2,Kawkab Athletic Club Marrakech,Week # 12,Saturday 10 December 2016
91,15:03,Chabab Kasba Tadla,1 : 1,Chabab Rif Al Hoceima,Week # 12,Sunday 11 December 2016
92,17:18,Hassania Union Sport Agadir,1 : 1,Wydad Athletic Club,Week # 12,Sunday 11 December 2016
93,19:19,Ittihad Tanger,0 : 1,Moghreb Tetouan,Week # 12,Sunday 11 December 2016
94,15:04,Raja Club Athletic,1 : 1,Renaissance de Berkane,Week # 12,Monday 12 December 2016
95,18:16,Fath Union Sport de Rabat,1 : 0,Kenitra AC,Week # 5,Wednesday 14 December 2016
96,18:03,FAR Rabat,2 : 2,Chabab Kasba Tadla,Week # 13,Friday 16 December 2016
97,15:00,Chabab Atlas Khenifra,3 : 0,Kawkab Athletic Club Marrakech,Week # 13,Saturday 17 December 2016
98,15:00,Chabab Rif Al Hoceima,1 : 2,Raja Club Athletic,Week # 13,Saturday 17 December 2016
99,18:00,Moghreb Tetouan,0 : 1,Hassania Union Sport Agadir,Week # 13,Saturday 17 December 2016
100,15:02,Wydad Athletic Club,1 : 1,Olympique Club de Safi,Week # 13,Sunday 18 December 2016
101,15:02,Olympique Club De Khouribga,1 : 0,Fath Union Sport de Rabat,Week # 13,Sunday 18 December 2016
102,17:04,Renaissance de Berkane,0 : 0,Ittihad Tanger,Week # 13,Sunday 18 December 2016
103,19:15,Difaa Hassani El Jadidi,0 : 0,Kenitra AC,Week # 13,Sunday 18 December 2016
104,19:03,Raja Club Athletic,1 : 1,FAR Rabat,Week # 14,Friday 23 December 2016
105,15:03,Fath Union Sport de Rabat,1 : 2,Wydad Athletic Club,Week # 14,Saturday 24 December 2016
106,14:59,Chabab Atlas Khenifra,4 : 0,Kenitra AC,Week # 14,Saturday 24 December 2016
107,17:32,Hassania Union Sport Agadir,1 : 2,Renaissance de Berkane,Week # 14,Saturday 24 December 2016
108,14:00,Chabab Kasba Tadla,0 : 0,Difaa Hassani El Jadidi,Week # 14,Sunday 25 December 2016
109,15:03,Ittihad Tanger,4 : 1,Chabab Rif Al Hoceima,Week # 14,Sunday 25 December 2016
110,16:02,Kawkab Athletic Club Marrakech,1 : 2,Olympique Club De Khouribga,Week # 14,Sunday 25 December 2016
111,18:29,Olympique Club de Safi,1 : 1,Moghreb Tetouan,Week # 14,Sunday 25 December 2016
112,15:01,Chabab Rif Al Hoceima,1 : 0,Hassania Union Sport Agadir,Week # 15,Friday 30 December 2016
113,17:03,Renaissance de Berkane,1 : 0,Olympique Club de Safi,Week # 15,Friday 30 December 2016
114,19:01,Wydad Athletic Club,2 : 3,Kawkab Athletic Club Marrakech,Week # 15,Friday 30 December 2016
115,15:04,Olympique Club De Khouribga,1 : 0,Chabab Atlas Khenifra,Week # 15,Saturday 31 December 2016
116,15:01,Difaa Hassani El Jadidi,0 : 0,Raja Club Athletic,Week # 15,Saturday 31 December 2016
117,15:00,Kenitra AC,3 : 2,Chabab Kasba Tadla,Week # 15,Sunday 1 January 2017
118,15:05,Moghreb Tetouan,1 : 1,Fath Union Sport de Rabat,Week # 15,Sunday 1 January 2017
119,17:34,FAR Rabat,0 : 0,Ittihad Tanger,Week # 15,Sunday 1 January 2017
120,17:05,Renaissance de Berkane,1 : 0,Fath Union Sport de Rabat,Week # 16,Friday 3 February 2017
121,19:02,FAR Rabat,2 : 0,Hassania Union Sport Agadir,Week # 16,Friday 3 February 2017
122,14:03,Difaa Hassani El Jadidi,4 : 1,Ittihad Tanger,Week # 16,Saturday 4 February 2017
123,15:01,Kenitra AC,0 : 2,Raja Club Athletic,Week # 16,Saturday 4 February 2017
124,16:03,Chabab Rif Al Hoceima,0 : 0,Olympique Club de Safi,Week # 16,Saturday 4 February 2017
125,14:03,Chabab Kasba Tadla,1 : 1,Chabab Atlas Khenifra,Week # 16,Sunday 5 February 2017
126,15:04,Wydad Athletic Club,4 : 1,Olympique Club De Khouribga,Week # 16,Sunday 5 February 2017
127,16:04,Moghreb Tetouan,1 : 2,Kawkab Athletic Club Marrakech,Week # 16,Sunday 5 February 2017
128,17:59,Olympique Club De Khouribga,4 : 1,Moghreb Tetouan,Week # 17,Friday 10 February 2017
129,14:59,Hassania Union Sport Agadir,0 : 1,Difaa Hassani El Jadidi,Week # 17,Saturday 11 February 2017
130,17:00,Olympique Club de Safi,1 : 1,FAR Rabat,Week # 17,Saturday 11 February 2017
131,15:02,Kawkab Athletic Club Marrakech,1 : 2,Renaissance de Berkane,Week # 17,Sunday 12 February 2017
132,14:59,Chabab Atlas Khenifra,1 : 1,Wydad Athletic Club,Week # 17,Sunday 12 February 2017
133,17:33,Raja Club Athletic,3 : 0,Chabab Kasba Tadla,Week # 17,Sunday 12 February 2017
134,18:04,Raja Club Athletic,1 : 0,Chabab Atlas Khenifra,Week # 18,Friday 17 February 2017
135,15:01,Renaissance de Berkane,2 : 0,Olympique Club De Khouribga,Week # 18,Saturday 18 February 2017
136,17:03,Moghreb Tetouan,0 : 1,Wydad Athletic Club,Week # 18,Saturday 18 February 2017
137,15:01,Kenitra AC,2 : 2,Hassania Union Sport Agadir,Week # 18,Sunday 19 February 2017
138,15:00,Chabab Rif Al Hoceima,1 : 0,Kawkab Athletic Club Marrakech,Week # 18,Sunday 19 February 2017
139,17:03,Difaa Hassani El Jadidi,1 : 1,Olympique Club de Safi,Week # 18,Sunday 19 February 2017
140,17:02,Fath Union Sport de Rabat,2 : 0,Chabab Rif Al Hoceima,Week # 17,Wednesday 22 February 2017
141,19:01,Ittihad Tanger,1 : 0,Kenitra AC,Week # 17,Wednesday 22 February 2017
142,18:01,Hassania Union Sport Agadir,2 : 1,Chabab Kasba Tadla,Week # 19,Friday 24 February 2017
143,15:01,Chabab Atlas Khenifra,0 : 0,Moghreb Tetouan,Week # 19,Saturday 25 February 2017
144,17:01,Kawkab Athletic Club Marrakech,1 : 2,FAR Rabat,Week # 19,Saturday 25 February 2017
145,19:18,Wydad Athletic Club,1 : 0,Renaissance de Berkane,Week # 19,Saturday 25 February 2017
146,15:03,Olympique Club De Khouribga,1 : 1,Chabab Rif Al Hoceima,Week # 19,Sunday 26 February 2017
147,15:02,Ittihad Tanger,1 : 2,Raja Club Athletic,Week # 19,Sunday 26 February 2017
148,17:02,Olympique Club de Safi,2 : 1,Kenitra AC,Week # 19,Sunday 26 February 2017
149,19:19,Fath Union Sport de Rabat,1 : 0,Difaa Hassani El Jadidi,Week # 19,Sunday 26 February 2017
150,15:00,Chabab Kasba Tadla,1 : 1,Ittihad Tanger,Week # 18,Wednesday 1 March 2017
151,18:06,FAR Rabat,2 : 1,Fath Union Sport de Rabat,Week # 18,Wednesday 1 March 2017
152,15:01,Chabab Rif Al Hoceima,1 : 2,Wydad Athletic Club,Week # 20,Friday 3 March 2017
153,18:03,Raja Club Athletic,1 : 0,Hassania Union Sport Agadir,Week # 20,Friday 3 March 2017
154,15:04,Difaa Hassani El Jadidi,1 : 0,Kawkab Athletic Club Marrakech,Week # 20,Saturday 4 March 2017
155,17:31,Renaissance de Berkane,1 : 0,Moghreb Tetouan,Week # 20,Saturday 4 March 2017
156,15:02,Kenitra AC,2 : 2,Fath Union Sport de Rabat,Week # 20,Sunday 5 March 2017
157,15:03,Chabab Kasba Tadla,1 : 3,Olympique Club de Safi,Week # 20,Sunday 5 March 2017
158,17:03,Ittihad Tanger,0 : 0,Chabab Atlas Khenifra,Week # 20,Sunday 5 March 2017
159,19:15,FAR Rabat,4 : 2,Olympique Club De Khouribga,Week # 20,Sunday 5 March 2017
160,18:01,Kawkab Athletic Club Marrakech,1 : 1,Kenitra AC,Week # 21,Friday 10 March 2017
161,15:01,Chabab Atlas Khenifra,0 : 0,Renaissance de Berkane,Week # 21,Saturday 11 March 2017
162,17:03,Moghreb Tetouan,2 : 1,Chabab Rif Al Hoceima,Week # 21,Saturday 11 March 2017
163,15:03,Olympique Club De Khouribga,0 : 0,Difaa Hassani El Jadidi,Week # 21,Sunday 12 March 2017
164,17:10,Olympique Club de Safi,0 : 0,Raja Club Athletic,Week # 21,Sunday 12 March 2017
165,14:59,Chabab Rif Al Hoceima,1 : 1,Renaissance de Berkane,Week # 22,Saturday 18 March 2017
166,15:02,Kenitra AC,2 : 1,Olympique Club De Khouribga,Week # 22,Sunday 19 March 2017
167,15:00,Chabab Kasba Tadla,3 : 2,Kawkab Athletic Club Marrakech,Week # 22,Sunday 19 March 2017
168,17:01,FAR Rabat,2 : 2,Moghreb Tetouan,Week # 22,Sunday 19 March 2017
169,19:17,Hassania Union Sport Agadir,1 : 1,Chabab Atlas Khenifra,Week # 22,Sunday 19 March 2017
170,19:04,Fath Union Sport de Rabat,2 : 1,Chabab Kasba Tadla,Week # 21,Saturday 1 April 2017
171,16:02,Hassania Union Sport Agadir,0 : 4,Ittihad Tanger,Week # 21,Sunday 2 April 2017
172,16:03,Wydad Athletic Club,1 : 1,FAR Rabat,Week # 21,Monday 3 April 2017
173,16:01,Raja Club Athletic,2 : 0,Fath Union Sport de Rabat,Week # 22,Wednesday 5 April 2017
174,19:05,Olympique Club De Khouribga,0 : 1,Chabab Kasba Tadla,Week # 23,Friday 7 April 2017
175,16:01,Wydad Athletic Club,1 : 0,Kenitra AC,Week # 23,Saturday 8 April 2017
176,17:02,Renaissance de Berkane,0 : 2,FAR Rabat,Week # 23,Saturday 8 April 2017
177,19:18,Moghreb Tetouan,0 : 2,Difaa Hassani El Jadidi,Week # 23,Saturday 8 April 2017
178,16:00,Olympique Club de Safi,1 : 0,Hassania Union Sport Agadir,Week # 23,Sunday 9 April 2017
179,17:00,Chabab Atlas Khenifra,3 : 0,Chabab Rif Al Hoceima,Week # 23,Sunday 9 April 2017
180,20:00,Kawkab Athletic Club Marrakech,0 : 0,Raja Club Athletic,Week # 23,Tuesday 11 April 2017
181,17:01,Difaa Hassani El Jadidi,0 : 0,Wydad Athletic Club,Week # 22,Wednesday 12 April 2017
182,17:01,Kenitra AC,3 : 0,Moghreb Tetouan,Week # 24,Friday 14 April 2017
183,16:04,Raja Club Athletic,0 : 1,Olympique Club De Khouribga,Week # 24,Saturday 15 April 2017
184,18:02,Olympique Club de Safi,1 : 0,Chabab Atlas Khenifra,Week # 24,Saturday 15 April 2017
185,16:29,Difaa Hassani El Jadidi,0 : 0,Renaissance de Berkane,Week # 24,Sunday 16 April 2017
186,16:31,Chabab Kasba Tadla,0 : 2,Wydad Athletic Club,Week # 24,Sunday 16 April 2017
187,19:00,FAR Rabat,4 : 1,Chabab Rif Al Hoceima,Week # 24,Sunday 16 April 2017
188,17:02,Ittihad Tanger,1 : 0,Olympique Club de Safi,Week # 22,Wednesday 19 April 2017
189,17:04,Chabab Rif Al Hoceima,0 : 1,Difaa Hassani El Jadidi,Week # 25,Friday 21 April 2017
190,19:14,Kawkab Athletic Club Marrakech,1 : 1,Hassania Union Sport Agadir,Week # 25,Friday 21 April 2017
191,16:03,Renaissance de Berkane,3 : 0,Kenitra AC,Week # 25,Saturday 22 April 2017
192,15:59,Chabab Atlas Khenifra,0 : 0,FAR Rabat,Week # 25,Saturday 22 April 2017
193,18:29,Moghreb Tetouan,4 : 0,Chabab Kasba Tadla,Week # 25,Saturday 22 April 2017
194,16:05,Wydad Athletic Club,1 : 0,Raja Club Athletic,Week # 25,Sunday 23 April 2017
195,18:14,Olympique Club De Khouribga,2 : 1,Ittihad Tanger,Week # 25,Sunday 23 April 2017
196,18:16,Fath Union Sport de Rabat,1 : 0,Olympique Club de Safi,Week # 25,Sunday 23 April 2017
197,18:59,Fath Union Sport de Rabat,1 : 0,Ittihad Tanger,Week # 23,Wednesday 26 April 2017
198,17:31,Difaa Hassani El Jadidi,2 : 1,FAR Rabat,Week # 26,Friday 28 April 2017
199,19:30,Olympique Club de Safi,2 : 1,Kawkab Athletic Club Marrakech,Week # 26,Friday 28 April 2017
200,16:03,Raja Club Athletic,4 : 0,Moghreb Tetouan,Week # 26,Saturday 29 April 2017
201,15:59,Chabab Kasba Tadla,2 : 0,Renaissance de Berkane,Week # 26,Saturday 29 April 2017
202,18:31,Hassania Union Sport Agadir,1 : 0,Olympique Club De Khouribga,Week # 26,Saturday 29 April 2017
203,16:01,Ittihad Tanger,0 : 1,Wydad Athletic Club,Week # 26,Sunday 30 April 2017
204,15:59,Kenitra AC,1 : 2,Chabab Rif Al Hoceima,Week # 26,Sunday 30 April 2017
205,19:03,Fath Union Sport de Rabat,2 : 0,Chabab Atlas Khenifra,Week # 26,Sunday 30 April 2017
206,16:02,Ittihad Tanger,0 : 2,Kawkab Athletic Club Marrakech,Week # 24,Wednesday 3 May 2017
207,18:01,Hassania Union Sport Agadir,2 : 1,Fath Union Sport de Rabat,Week # 24,Wednesday 3 May 2017
208,16:30,Wydad Athletic Club,2 : 0,Hassania Union Sport Agadir,Week # 27,Sunday 7 May 2017
209,16:32,Olympique Club De Khouribga,4 : 0,Olympique Club de Safi,Week # 27,Sunday 7 May 2017
210,16:32,Kawkab Athletic Club Marrakech,1 : 0,Fath Union Sport de Rabat,Week # 27,Sunday 7 May 2017
211,16:31,FAR Rabat,2 : 1,Kenitra AC,Week # 27,Sunday 7 May 2017
212,16:29,Moghreb Tetouan,0 : 1,Ittihad Tanger,Week # 27,Sunday 7 May 2017
213,16:30,Renaissance de Berkane,1 : 1,Raja Club Athletic,Week # 27,Sunday 7 May 2017
214,16:30,Chabab Atlas Khenifra,2 : 2,Difaa Hassani El Jadidi,Week # 27,Sunday 7 May 2017
215,16:29,Chabab Rif Al Hoceima,2 : 1,Chabab Kasba Tadla,Week # 27,Sunday 7 May 2017
216,16:31,Raja Club Athletic,2 : 1,Chabab Rif Al Hoceima,Week # 28,Sunday 14 May 2017
217,16:31,Hassania Union Sport Agadir,2 : 1,Moghreb Tetouan,Week # 28,Sunday 14 May 2017
218,16:30,Kawkab Athletic Club Marrakech,2 : 1,Chabab Atlas Khenifra,Week # 28,Sunday 14 May 2017
219,16:29,Ittihad Tanger,0 : 0,Renaissance de Berkane,Week # 28,Sunday 14 May 2017
220,16:30,Kenitra AC,1 : 2,Difaa Hassani El Jadidi,Week # 28,Sunday 14 May 2017
221,16:30,Chabab Kasba Tadla,2 : 1,FAR Rabat,Week # 28,Sunday 14 May 2017
222,17:00,Olympique Club de Safi,1 : 2,Wydad Athletic Club,Week # 28,Wednesday 17 May 2017
223,19:31,Fath Union Sport de Rabat,1 : 3,Olympique Club De Khouribga,Week # 28,Wednesday 17 May 2017
224,16:00,Olympique Club De Khouribga,0 : 4,Kawkab Athletic Club Marrakech,Week # 29,Sunday 21 May 2017
225,16:07,Kenitra AC,1 : 1,Chabab Atlas Khenifra,Week # 29,Sunday 21 May 2017
226,16:00,Difaa Hassani El Jadidi,6 : 1,Chabab Kasba Tadla,Week # 29,Sunday 21 May 2017
227,15:59,Moghreb Tetouan,1 : 0,Olympique Club de Safi,Week # 29,Sunday 21 May 2017
228,16:05,Renaissance de Berkane,1 : 0,Hassania Union Sport Agadir,Week # 29,Sunday 21 May 2017
229,15:59,Chabab Rif Al Hoceima,1 : 0,Ittihad Tanger,Week # 29,Sunday 21 May 2017
230,15:59,FAR Rabat,1 : 1,Raja Club Athletic,Week # 29,Sunday 21 May 2017
231,15:59,Chabab Atlas Khenifra,1 : 0,Olympique Club De Khouribga,Week # 30,Thursday 25 May 2017
232,18:01,Ittihad Tanger,2 : 1,FAR Rabat,Week # 30,Thursday 25 May 2017
233,16:01,Raja Club Athletic,4 : 1,Difaa Hassani El Jadidi,Week # 30,Friday 26 May 2017
234,16:00,Chabab Kasba Tadla,0 : 0,Kenitra AC,Week # 30,Friday 26 May 2017
235,18:01,Olympique Club de Safi,0 : 1,Renaissance de Berkane,Week # 30,Friday 26 May 2017
236,20:00,Hassania Union Sport Agadir,3 : 1,Chabab Rif Al Hoceima,Week # 30,Friday 26 May 2017
237,22:32,Kawkab Athletic Club Marrakech,2 : 3,Wydad Athletic Club,Week # 30,Sunday 28 May 2017
238,22:02,Fath Union Sport de Rabat,1 : 1,Moghreb Tetouan,Week # 30,Sunday 28 May 2017
239,22:36,Wydad Athletic Club,1 : 2,Fath Union Sport de Rabat,Week # 29,Monday 12 June 2017
