,Time,Receiving team,Score,Guest team,Week,Date
0,20:30,Renaissance de Berkane,0 : 1,Hassania Union Sport Agadir,Week # 1,Thursday 1 September 2022
1,16:56,Fath Union Sport de Rabat,1 : 1,Wydad Athletic Club,Week # 1,Friday 2 September 2022
2,19:15,Mouloudia Oujda,0 : 1,FAR Rabat,Week # 1,Friday 2 September 2022
3,21:30,Difaa Hassani El Jadidi,1 : 0,UTS Union Touarga Sport Rabat,Week # 1,Friday 2 September 2022
4,18:00,Ittihad Tanger,0 : 1,JSS Jeunesse Sportive Soualem,Week # 1,Saturday 3 September 2022
5,20:30,Maghreb de Fes,0 : 0,Moghreb Tetouan,Week # 1,Saturday 3 September 2022
6,18:00,Olympique Club De Khouribga,0 : 1,Chabab Mohammedia,Week # 1,Sunday 4 September 2022
7,20:30,Raja Club Athletic,2 : 2,Olympique Club de Safi,Week # 1,Sunday 4 September 2022
8,18:01,Wydad Athletic Club,3 : 1,Difaa Hassani El Jadidi,Week # 2,Monday 5 September 2022
9,20:30,FAR Rabat,1 : 1,Renaissance de Berkane,Week # 2,Monday 5 September 2022
10,18:00,Chabab Mohammedia,1 : 0,Mouloudia Oujda,Week # 2,Thursday 8 September 2022
11,20:30,JSS Jeunesse Sportive Soualem,0 : 1,Fath Union Sport de Rabat,Week # 2,Thursday 8 September 2022
12,16:00,Moghreb Tetouan,1 : 0,Ittihad Tanger,Week # 2,Friday 9 September 2022
13,18:00,UTS Union Touarga Sport Rabat,1 : 0,Raja Club Athletic,Week # 2,Friday 9 September 2022
14,17:00,Hassania Union Sport Agadir,0 : 0,Olympique Club De Khouribga,Week # 2,Sunday 11 September 2022
15,19:14,Olympique Club de Safi,2 : 1,Maghreb de Fes,Week # 2,Sunday 11 September 2022
16,18:01,UTS Union Touarga Sport Rabat,0 : 1,FAR Rabat,Week # 3,Wednesday 14 September 2022
17,20:29,Difaa Hassani El Jadidi,1 : 0,Chabab Mohammedia,Week # 3,Friday 16 September 2022
18,17:00,Maghreb de Fes,0 : 1,JSS Jeunesse Sportive Soualem,Week # 3,Saturday 17 September 2022
19,19:16,Ittihad Tanger,0 : 2,Hassania Union Sport Agadir,Week # 3,Saturday 17 September 2022
20,21:32,Mouloudia Oujda,0 : 0,Fath Union Sport de Rabat,Week # 3,Saturday 17 September 2022
21,17:01,Raja Club Athletic,1 : 1,Moghreb Tetouan,Week # 3,Sunday 18 September 2022
22,18:00,Renaissance de Berkane,1 : 2,Olympique Club de Safi,Week # 3,Sunday 18 September 2022
23,19:18,Olympique Club De Khouribga,1 : 2,Wydad Athletic Club,Week # 3,Sunday 18 September 2022
24,16:02,FAR Rabat,4 : 1,Difaa Hassani El Jadidi,Week # 4,Friday 30 September 2022
25,20:28,Chabab Mohammedia,0 : 0,Raja Club Athletic,Week # 4,Friday 30 September 2022
26,18:16,Olympique Club de Safi,1 : 0,Ittihad Tanger,Week # 4,Saturday 1 October 2022
27,20:31,JSS Jeunesse Sportive Soualem,0 : 0,Olympique Club De Khouribga,Week # 4,Saturday 1 October 2022
28,16:01,Fath Union Sport de Rabat,0 : 0,Maghreb de Fes,Week # 4,Sunday 2 October 2022
29,18:18,Moghreb Tetouan,1 : 1,UTS Union Touarga Sport Rabat,Week # 4,Sunday 2 October 2022
30,20:30,Wydad Athletic Club,2 : 0,Renaissance de Berkane,Week # 4,Sunday 2 October 2022
31,20:30,Hassania Union Sport Agadir,1 : 1,Mouloudia Oujda,Week # 4,Sunday 2 October 2022
32,18:05,UTS Union Touarga Sport Rabat,1 : 0,Chabab Mohammedia,Week # 5,Friday 7 October 2022
33,18:15,Mouloudia Oujda,3 : 4,JSS Jeunesse Sportive Soualem,Week # 5,Saturday 8 October 2022
34,20:31,Difaa Hassani El Jadidi,2 : 2,Maghreb de Fes,Week # 5,Saturday 8 October 2022
35,17:59,Olympique Club De Khouribga,2 : 3,Fath Union Sport de Rabat,Week # 5,Sunday 9 October 2022
36,18:16,Olympique Club de Safi,1 : 2,Mouloudia Oujda,Week # 5,Friday 14 October 2022
37,20:30,Maghreb de Fes,2 : 0,Olympique Club De Khouribga,Week # 5,Friday 14 October 2022
38,17:28,Moghreb Tetouan,1 : 1,Difaa Hassani El Jadidi,Week # 5,Saturday 15 October 2022
39,16:01,Hassania Union Sport Agadir,1 : 2,UTS Union Touarga Sport Rabat,Week # 5,Sunday 16 October 2022
40,18:02,Fath Union Sport de Rabat,1 : 0,Ittihad Tanger,Week # 6,Sunday 16 October 2022
41,18:15,Renaissance de Berkane,2 : 2,Moghreb Tetouan,Week # 6,Tuesday 18 October 2022
42,20:30,FAR Rabat,1 : 1,Olympique Club de Safi,Week # 6,Tuesday 18 October 2022
43,18:15,Ittihad Tanger,0 : 0,Wydad Athletic Club,Week # 6,Wednesday 19 October 2022
44,20:30,Raja Club Athletic,1 : 0,Hassania Union Sport Agadir,Week # 6,Wednesday 19 October 2022
45,20:00,Chabab Mohammedia,1 : 1,FAR Rabat,Week # 6,Friday 21 October 2022
46,20:00,JSS Jeunesse Sportive Soualem,1 : 1,Renaissance de Berkane,Week # 6,Saturday 22 October 2022
47,16:00,Wydad Athletic Club,2 : 1,Raja Club Athletic,Week # 6,Sunday 23 October 2022
48,18:16,UTS Union Touarga Sport Rabat,2 : 0,Olympique Club de Safi,Week # 7,Wednesday 26 October 2022
