,Time,Receiving team,Score,Guest team,Week,Date
122,18:17,Rapide Oued Zem,0 : 2,Hassania Union Sport Agadir,Week # 16,Friday 4 February 2022
123,20:30,Difaa Hassani El Jadidi,1 : 0,Olympique Club de Safi,Week # 16,Friday 4 February 2022
124,16:03,Ittihad Tanger,0 : 0,Wydad Athletic Club,Week # 16,Saturday 5 February 2022
125,16:01,JSS Jeunesse Sportive Soualem,1 : 1,FAR Rabat,Week # 16,Saturday 5 February 2022
126,18:15,Renaissance de Berkane,0 : 0,Maghreb de Fes,Week # 16,Saturday 5 February 2022
127,20:34,Raja Club Athletic,1 : 1,Youssoufia Berrechid,Week # 16,Saturday 5 February 2022
128,16:02,Maghreb de Fes,0 : 0,JSS Jeunesse Sportive Soualem,Week # 17,Friday 11 February 2022
129,17:59,Youssoufia Berrechid,1 : 2,Fath Union Sport de Rabat,Week # 17,Friday 11 February 2022
130,16:02,Hassania Union Sport Agadir,0 : 0,Difaa Hassani El Jadidi,Week # 17,Saturday 12 February 2022
131,18:04,Chabab Mohammedia,3 : 0,Ittihad Tanger,Week # 17,Saturday 12 February 2022
132,16:04,FAR Rabat,0 : 3,Mouloudia Oujda,Week # 17,Sunday 13 February 2022
133,16:03,Olympique Club De Khouribga,2 : 2,Raja Club Athletic,Week # 17,Tuesday 15 February 2022
134,18:18,Wydad Athletic Club,2 : 0,Rapide Oued Zem,Week # 17,Tuesday 15 February 2022
135,16:03,Olympique Club de Safi,0 : 0,Renaissance de Berkane,Week # 17,Wednesday 16 February 2022
136,16:01,Difaa Hassani El Jadidi,0 : 0,Chabab Mohammedia,Week # 18,Saturday 19 February 2022
137,18:15,Fath Union Sport de Rabat,1 : 1,Maghreb de Fes,Week # 18,Saturday 19 February 2022
138,16:02,Rapide Oued Zem,0 : 0,Youssoufia Berrechid,Week # 18,Sunday 20 February 2022
139,18:17,Mouloudia Oujda,3 : 1,Olympique Club de Safi,Week # 18,Sunday 20 February 2022
140,20:34,Ittihad Tanger,0 : 2,Olympique Club De Khouribga,Week # 18,Sunday 20 February 2022
141,20:01,JSS Jeunesse Sportive Soualem,0 : 1,Raja Club Athletic,Week # 18,Tuesday 22 February 2022
142,20:03,Wydad Athletic Club,0 : 2,Hassania Union Sport Agadir,Week # 18,Wednesday 23 February 2022
143,20:01,Renaissance de Berkane,2 : 1,FAR Rabat,Week # 18,Thursday 24 February 2022
144,16:00,Olympique Club de Safi,2 : 1,Fath Union Sport de Rabat,Week # 19,Friday 25 February 2022
145,18:01,Chabab Mohammedia,4 : 1,Rapide Oued Zem,Week # 19,Friday 25 February 2022
146,16:02,Maghreb de Fes,1 : 0,Mouloudia Oujda,Week # 19,Saturday 26 February 2022
147,18:02,Olympique Club De Khouribga,0 : 0,JSS Jeunesse Sportive Soualem,Week # 19,Saturday 26 February 2022
148,16:03,FAR Rabat,3 : 1,Difaa Hassani El Jadidi,Week # 19,Sunday 27 February 2022
149,18:16,Youssoufia Berrechid,0 : 0,Wydad Athletic Club,Week # 19,Tuesday 1 March 2022
150,20:33,Raja Club Athletic,1 : 0,Ittihad Tanger,Week # 19,Tuesday 1 March 2022
151,20:04,Hassania Union Sport Agadir,2 : 0,Renaissance de Berkane,Week # 19,Wednesday 2 March 2022
152,18:17,Rapide Oued Zem,1 : 0,Olympique Club de Safi,Week # 20,Friday 4 March 2022
