,Time,Receiving team,Score,Guest team,Week,Date
0,17:59,Renaissance de Berkane,1 : 1,Mouloudia Oujda,Week # 1,Saturday 25 August 2018
1,20:31,Raja Club Athletic,6 : 0,Chabab Rif Al Hoceima,Week # 1,Saturday 25 August 2018
2,17:00,Youssoufia Berrechid,1 : 0,Hassania Union Sport Agadir,Week # 1,Sunday 26 August 2018
3,19:30,Olympique Club De Khouribga,2 : 1,Moghreb Tetouan,Week # 1,Sunday 26 August 2018
4,17:59,Ittihad Tanger,1 : 1,Rapide Oued Zem,Week # 1,Monday 27 August 2018
5,20:32,Kawkab Athletic Club Marrakech,1 : 1,Fath Union Sport de Rabat,Week # 1,Monday 27 August 2018
6,19:01,Olympique Club de Safi,2 : 1,Wydad Athletic Club,Week # 1,Friday 7 September 2018
7,19:04,FAR Rabat,0 : 1,Difaa Hassani El Jadidi,Week # 1,Sunday 9 September 2018
8,15:59,Chabab Rif Al Hoceima,1 : 4,FAR Rabat,Week # 2,Saturday 15 September 2018
9,16:03,Mouloudia Oujda,1 : 1,Ittihad Tanger,Week # 2,Sunday 16 September 2018
10,19:01,Rapide Oued Zem,1 : 0,Kawkab Athletic Club Marrakech,Week # 2,Sunday 16 September 2018
11,18:01,Difaa Hassani El Jadidi,2 : 1,Olympique Club De Khouribga,Week # 2,Monday 17 September 2018
12,20:29,Fath Union Sport de Rabat,3 : 0,Olympique Club de Safi,Week # 2,Monday 17 September 2018
13,16:05,Kawkab Athletic Club Marrakech,3 : 1,Mouloudia Oujda,Week # 3,Saturday 22 September 2018
14,18:01,Ittihad Tanger,1 : 1,Moghreb Tetouan,Week # 3,Saturday 22 September 2018
15,20:29,Olympique Club de Safi,1 : 0,Rapide Oued Zem,Week # 3,Saturday 22 September 2018
16,15:00,Olympique Club De Khouribga,2 : 1,Chabab Rif Al Hoceima,Week # 3,Sunday 23 September 2018
17,18:00,FAR Rabat,0 : 1,Hassania Union Sport Agadir,Week # 3,Monday 24 September 2018
18,18:05,Moghreb Tetouan,1 : 4,Kawkab Athletic Club Marrakech,Week # 4,Friday 28 September 2018
19,15:59,Difaa Hassani El Jadidi,1 : 0,Ittihad Tanger,Week # 4,Saturday 29 September 2018
20,17:59,Hassania Union Sport Agadir,1 : 0,Olympique Club De Khouribga,Week # 4,Sunday 30 September 2018
21,20:30,Fath Union Sport de Rabat,1 : 1,Youssoufia Berrechid,Week # 4,Sunday 30 September 2018
22,15:58,Chabab Rif Al Hoceima,0 : 1,Renaissance de Berkane,Week # 4,Monday 1 October 2018
23,18:06,Mouloudia Oujda,0 : 0,Olympique Club de Safi,Week # 4,Monday 1 October 2018
24,16:00,Olympique Club De Khouribga,1 : 1,Raja Club Athletic,Week # 5,Saturday 20 October 2018
