,Time,Receiving team,Score,Guest team,Week,Date
0,18:33,Hassania Union Sport Agadir,2 : 1,Chabab Rif Al Hoceima,Week # 1,Saturday 5 September 2015
1,20:30,Ittihad Tanger,2 : 0,Maghreb de Fes,Week # 1,Saturday 5 September 2015
2,15:33,Kenitra AC,0 : 0,Difaa Hassani El Jadidi,Week # 1,Sunday 6 September 2015
3,16:02,Wydad Athletic Club,4 : 2,FAR Rabat,Week # 1,Sunday 6 September 2015
4,16:00,Fath Union Sport de Rabat,2 : 0,Raja Club Athletic,Week # 1,Sunday 6 September 2015
5,17:44,Renaissance de Berkane,0 : 0,Olympique Club De Khouribga,Week # 1,Sunday 6 September 2015
6,20:00,Kawkab Athletic Club Marrakech,2 : 0,Mouloudia Oujda,Week # 1,Sunday 6 September 2015
7,16:59,FAR Rabat,1 : 1,Olympique Club de Safi,Week # 2,Saturday 12 September 2015
8,17:03,Chabab Rif Al Hoceima,1 : 0,Ittihad Tanger,Week # 2,Saturday 12 September 2015
9,19:32,Raja Club Athletic,1 : 1,Kawkab Athletic Club Marrakech,Week # 2,Saturday 12 September 2015
10,15:01,Mouloudia Oujda,1 : 0,Kenitra AC,Week # 2,Sunday 13 September 2015
11,16:00,Difaa Hassani El Jadidi,0 : 1,Renaissance de Berkane,Week # 2,Sunday 13 September 2015
12,17:22,Olympique Club De Khouribga,1 : 3,Wydad Athletic Club,Week # 2,Sunday 13 September 2015
13,19:31,Maghreb de Fes,1 : 1,Fath Union Sport de Rabat,Week # 2,Sunday 13 September 2015
14,19:05,Olympique Club de Safi,1 : 0,Moghreb Tetouan,Week # 1,Friday 18 September 2015
15,20:32,Moghreb Tetouan,2 : 4,Hassania Union Sport Agadir,Week # 2,Tuesday 22 September 2015
16,19:00,Olympique Club de Safi,0 : 1,Olympique Club De Khouribga,Week # 3,Friday 2 October 2015
17,16:09,Ittihad Tanger,2 : 2,Moghreb Tetouan,Week # 3,Saturday 3 October 2015
18,16:31,Kawkab Athletic Club Marrakech,0 : 0,Maghreb de Fes,Week # 3,Saturday 3 October 2015
19,18:59,Fath Union Sport de Rabat,1 : 1,Chabab Rif Al Hoceima,Week # 3,Saturday 3 October 2015
20,15:02,Kenitra AC,1 : 2,Renaissance de Berkane,Week # 3,Sunday 4 October 2015
21,16:05,Mouloudia Oujda,0 : 1,Raja Club Athletic,Week # 3,Sunday 4 October 2015
22,19:18,Wydad Athletic Club,2 : 1,Difaa Hassani El Jadidi,Week # 3,Sunday 4 October 2015
23,18:07,Hassania Union Sport Agadir,1 : 0,FAR Rabat,Week # 3,Monday 5 October 2015
24,17:02,Moghreb Tetouan,0 : 3,Fath Union Sport de Rabat,Week # 4,Friday 9 October 2015
25,15:59,Raja Club Athletic,0 : 1,Kenitra AC,Week # 4,Saturday 10 October 2015
